"","C245PW0","childid"
"1",NA,"0001001C"
"2",343.75,"0001002C"
"3",356.88,"0001003C"
"4",344.87,"0001004C"
"5",0,"0001005C"
"6",344.87,"0001006C"
"7",344.87,"0001007C"
"8",479.21,"0001008C"
"9",414.99,"0001009C"
"10",343.75,"0001010C"
"11",343.75,"0001011C"
"12",426.64,"0001012C"
"13",344.87,"0001013C"
"14",339.42,"0001014C"
"15",NA,"0002002C"
"16",269.29,"0002003C"
"17",210.86,"0002004C"
"18",261.2,"0002005C"
"19",259.97,"0002006C"
"20",NA,"0002007C"
"21",238.17,"0002008C"
"22",NA,"0002009C"
"23",233.22,"0002010C"
"24",251.21,"0002011C"
"25",319.03,"0002012C"
"26",NA,"0002013C"
"27",NA,"0002014C"
"28",NA,"0002015C"
"29",NA,"0002016C"
"30",NA,"0002017C"
"31",238.17,"0002018C"
"32",236.72,"0002019C"
"33",NA,"0002020C"
"34",NA,"0002021C"
"35",250.4,"0002022C"
"36",NA,"0002023C"
"37",243.2,"0002024C"
"38",NA,"0005001C"
"39",NA,"0005002C"
"40",0,"0005003C"
"41",271.07,"0005004C"
"42",NA,"0005005C"
"43",0,"0005006C"
"44",NA,"0005007C"
"45",NA,"0005008C"
"46",NA,"0005009C"
"47",NA,"0005010C"
"48",0,"0005011C"
"49",NA,"0005012C"
"50",0,"0005013C"
"51",NA,"0005014C"
"52",NA,"0005015C"
"53",194.04,"0005016C"
"54",0,"0005017C"
"55",NA,"0005018C"
"56",NA,"0005019C"
"57",0,"0005020C"
"58",301.83,"0005021C"
"59",NA,"0005022C"
"60",NA,"0005023C"
"61",NA,"0005024C"
"62",0,"0005025C"
"63",0,"0006001C"
"64",0,"0006002C"
"65",228.98,"0006003C"
"66",0,"0006004C"
"67",237.51,"0006005C"
"68",NA,"0006006C"
"69",242.53,"0006007C"
"70",NA,"0006008C"
"71",NA,"0006009C"
"72",416.43,"0006010C"
"73",282.3,"0006011C"
"74",326.83,"0006012C"
"75",NA,"0006013C"
"76",416.43,"0006014C"
"77",0,"0006015C"
"78",NA,"0006016C"
"79",273.3,"0006017C"
"80",NA,"0006018C"
"81",NA,"0006019C"
"82",NA,"0006020C"
"83",NA,"0006021C"
"84",0,"0006022C"
"85",381.27,"0006023C"
"86",NA,"0006024C"
"87",NA,"0006025C"
"88",NA,"0007001C"
"89",115.01,"0007002C"
"90",NA,"0007003C"
"91",83.31,"0007004C"
"92",NA,"0007005C"
"93",88.33,"0007006C"
"94",NA,"0007007C"
"95",83.31,"0007008C"
"96",103.58,"0007009C"
"97",0,"0007010C"
